date,country,H,I,S,D,M
2021-04-01,Afghanistan,37,0,0,0,0
2021-04-01,Sweden,9,0,0,0,0
2021-04-01,Japan,121,0,0,0,0
2021-04-02,Afghanistan,32,5,0,0,0
2021-04-02,Sweden,6,3,0,0,0
2021-04-02,Japan,88,33,0,0,0
2021-04-03,Afghanistan,21,16,0,0,0
2021-04-03,Sweden,4,5,0,0,0
2021-04-03,Japan,57,64,0,0,0
2021-04-04,Afghanistan,16,21,0,0,0
2021-04-04,Sweden,3,6,0,0,0
2021-04-04,Japan,39,82,0,0,0
2021-04-05,Afghanistan,11,26,0,0,0
2021-04-05,Sweden,2,7,0,0,0
2021-04-05,Japan,30,91,0,0,0
2021-04-06,Afghanistan,6,31,0,0,0
2021-04-06,Sweden,2,7,0,0,0
2021-04-06,Japan,21,100,0,0,0
2021-04-07,Afghanistan,5,27,3,0,2
2021-04-07,Sweden,2,4,1,0,2
2021-04-07,Japan,16,72,11,0,22
2021-04-08,Afghanistan,4,17,8,0,8
2021-04-08,Sweden,2,2,3,0,2
2021-04-08,Japan,13,44,28,0,36
2021-04-09,Afghanistan,4,12,9,0,12
2021-04-09,Sweden,1,2,4,0,2
2021-04-09,Japan,9,30,40,0,42
2021-04-10,Afghanistan,3,8,10,0,16
2021-04-10,Sweden,1,1,5,0,2
2021-04-10,Japan,6,24,44,0,47
2021-04-11,Afghanistan,2,4,13,0,18
2021-04-11,Sweden,1,1,5,0,2
2021-04-11,Japan,6,15,48,0,52
2021-04-12,Afghanistan,2,3,14,0,18
2021-04-12,Sweden,1,1,5,0,2
2021-04-12,Japan,5,11,51,0,54
2021-04-13,Afghanistan,1,3,15,0,18
2021-04-13,Sweden,1,1,5,0,2
2021-04-13,Japan,4,9,53,0,55
2021-04-14,Afghanistan,1,3,15,0,18
2021-04-14,Sweden,1,0,6,0,2
2021-04-14,Japan,4,5,56,0,56
2021-04-15,Afghanistan,0,3,15,0,19
2021-04-15,Sweden,1,0,6,0,2
2021-04-15,Japan,4,2,57,0,58
2021-04-16,Afghanistan,0,2,15,0,20
2021-04-16,Sweden,1,0,6,0,2
2021-04-16,Japan,4,2,57,0,58
2021-04-17,Afghanistan,0,2,15,0,20
2021-04-17,Sweden,1,0,6,0,2
2021-04-17,Japan,3,2,58,0,58
2021-04-18,Afghanistan,0,1,16,0,20
2021-04-18,Sweden,1,0,6,0,2
2021-04-18,Japan,2,2,58,0,59
2021-04-19,Afghanistan,0,1,16,0,20
2021-04-19,Sweden,1,0,6,0,2
2021-04-19,Japan,2,2,58,0,59
2021-04-20,Afghanistan,0,0,17,0,20
2021-04-20,Sweden,1,0,6,0,2
2021-04-20,Japan,2,2,58,0,59
2021-04-21,Afghanistan,0,0,17,0,20
2021-04-21,Sweden,1,0,6,0,2
2021-04-21,Japan,2,2,58,0,59
2021-04-22,Afghanistan,0,0,14,0,23
2021-04-22,Sweden,1,0,5,1,2
2021-04-22,Japan,2,1,48,1,69
2021-04-23,Afghanistan,0,0,9,1,27
2021-04-23,Sweden,1,0,3,1,4
2021-04-23,Japan,2,0,32,3,84
2021-04-24,Afghanistan,0,0,8,1,28
2021-04-24,Sweden,1,0,2,1,5
2021-04-24,Japan,2,0,20,9,90
2021-04-25,Afghanistan,0,0,7,1,29
2021-04-25,Sweden,1,0,1,1,6
2021-04-25,Japan,2,0,16,12,91
2021-04-26,Afghanistan,0,0,4,1,32
2021-04-26,Sweden,1,0,1,1,6
2021-04-26,Japan,2,0,12,12,95
2021-04-27,Afghanistan,0,0,3,1,33
2021-04-27,Sweden,1,0,1,1,6
2021-04-27,Japan,2,0,9,12,98
